จังหวัด,เขต,อำเภอ,ตำบล,flag,optional
เพชรบุรี,1,เมืองเพชรบุรี,,,
เพชรบุรี,1,บ้านแหลม,บ้านแหลม,ยกเว้น,
เพชรบุรี,1,บ้านแหลม,บางตะบูน,ยกเว้น,
เพชรบุรี,1,บ้านแหลม,บางตะบูนออก,ยกเว้น,
เพชรบุรี,2,ชะอำ,,,
เพชรบุรี,2,ท่ายาง,,,
เพชรบุรี,3,เขาย้อย,,,
เพชรบุรี,3,บ้านลาด,,,
เพชรบุรี,3,หนองหญ้าปล้อง,,,
เพชรบุรี,3,แก่งกระจาน,,,
เพชรบุรี,3,บ้านแหลม,บ้านแหลม,เฉพาะ,
เพชรบุรี,3,บ้านแหลม,บางตะบูน,เฉพาะ,
เพชรบุรี,3,บ้านแหลม,บางตะบูนออก,เฉพาะ,
แพร่,1,เมืองแพร่,วังธง,ยกเว้น,
แพร่,1,เมืองแพร่,วังหงส์,ยกเว้น,
แพร่,1,เมืองแพร่,ท่าข้าม,ยกเว้น,
แพร่,1,เมืองแพร่,แม่ยม,ยกเว้น,
แพร่,1,เมืองแพร่,ห้วยม้า,ยกเว้น,
แพร่,1,เมืองแพร่,แม่หล่าย,ยกเว้น,
แพร่,1,เมืองแพร่,แม่คำมี,ยกเว้น,
แพร่,1,สูงเม่น,หัวฝาย,ยกเว้น,
แพร่,1,สูงเม่น,บ้านปง,ยกเว้น,
แพร่,2,สอง,,,
แพร่,2,ร้องกวาง,,,
แพร่,2,หนองม่วงไข่,,,
แพร่,2,เมืองแพร่,วังธง,เฉพาะ,
แพร่,2,เมืองแพร่,วังหงส์,เฉพาะ,
แพร่,2,เมืองแพร่,ท่าข้าม,เฉพาะ,
แพร่,2,เมืองแพร่,แม่ยม,เฉพาะ,
แพร่,2,เมืองแพร่,ห้วยม้า,เฉพาะ,
แพร่,2,เมืองแพร่,แม่หล่าย,เฉพาะ,
แพร่,2,เมืองแพร่,แม่คำมี,เฉพาะ,
แพร่,3,สูงเม่น,หัวฝาย,เฉพาะ,
แพร่,3,สูงเม่น,บ้านปง,เฉพาะ,
แพร่,3,เด่นชัย,,,
แพร่,3,วังชิ้น,,,
ภูเก็ต,1,เมืองภูเก็ต,ตลาดใหญ่,เฉพาะ,
ภูเก็ต,1,เมืองภูเก็ต,ตลาดเหนือ,เฉพาะ,
ภูเก็ต,1,เมืองภูเก็ต,รัษฎา,เฉพาะ,
ภูเก็ต,1,เมืองภูเก็ต,เกาะแก้ว,เฉพาะ,
ภูเก็ต,2,เมืองภูเก็ต,ตลาดใหญ่,ยกเว้น,
ภูเก็ต,2,เมืองภูเก็ต,ตลาดเหนือ,ยกเว้น,
ภูเก็ต,2,เมืองภูเก็ต,รัษฎา,ยกเว้น,
ภูเก็ต,2,เมืองภูเก็ต,เกาะแก้ว,ยกเว้น,
ภูเก็ต,2,กะทู้,กะทู้,ยกเว้น,
ภูเก็ต,3,ถลาง,,,
ภูเก็ต,3,กะทู้,กะทู้,เฉพาะ,
ยโสธร,1,เมืองยโสธร,,,
ยโสธร,1,ทรายมูล,,,
ยโสธร,1,ป่าติ้ว,ศรีฐาน,เฉพาะ,
ยโสธร,1,ป่าติ้ว,กระจาย,เฉพาะ,
ยโสธร,1,คำเขื่อนแก้ว,ทุ่งมน,เฉพาะ,
ยโสธร,2,คำเขื่อนแก้ว,ทุ่งมน,ยกเว้น,
ยโสธร,2,มหาชนะชัย,,,
ยโสธร,2,ค้อวัง,,,
ยโสธร,2,ป่าติ้ว,ศรีฐาน,ยกเว้น,
ยโสธร,2,ป่าติ้ว,กระจาย,ยกเว้น,
ยโสธร,2,ไทยเจริญ,น้ำคำ,เฉพาะ,
ยโสธร,2,ไทยเจริญ,คำไผ่,เฉพาะ,
ยโสธร,3,เลิงนกทา,,,
ยโสธร,3,กุดชุม,,,
ยโสธร,3,ไทยเจริญ,น้ำคำ,ยกเว้น,
ยโสธร,3,ไทยเจริญ,คำไผ่,ยกเว้น,
ยะลา,1,เมืองยะลา,บุดี,ยกเว้น,
ยะลา,1,เมืองยะลา,เปาะเส้ง,ยกเว้น,
ยะลา,1,เมืองยะลา,บันนังสาเรง,ยกเว้น,
ยะลา,1,ยะหา,ยะหา,เฉพาะ,
ยะลา,1,ยะหา,ตาชี,เฉพาะ,
ยะลา,1,ยะหา,บาโงยซิแน,เฉพาะ,
ยะลา,2,เมืองยะลา,บุดี,เฉพาะ,
ยะลา,2,เมืองยะลา,เปาะเส้ง,เฉพาะ,
ยะลา,2,เมืองยะลา,บันนังสาเรง,เฉพาะ,
ยะลา,2,ยะหา,ยะหา,ยกเว้น,
ยะลา,2,ยะหา,ตาชี,ยกเว้น,
ยะลา,2,ยะหา,บาโงยซิแน,ยกเว้น,
ยะลา,2,รามัน,,,
ยะลา,2,กาบัง,,,
ยะลา,3,กรงปินัง,,,
ยะลา,3,บันนังสตา,,,
ยะลา,3,ธารโต,,,
ยะลา,3,เบตง,,,
สมุทรสาคร,1,เมืองสมุทรสาคร,มหาชัย,เฉพาะ,
สมุทรสาคร,1,เมืองสมุทรสาคร,ท่าฉลอม,เฉพาะ,
สมุทรสาคร,1,เมืองสมุทรสาคร,โกรกกราก,เฉพาะ,
สมุทรสาคร,1,เมืองสมุทรสาคร,บางหญ้าแพรก,เฉพาะ,
สมุทรสาคร,1,เมืองสมุทรสาคร,ท่าทราย,เฉพาะ,
สมุทรสาคร,1,เมืองสมุทรสาคร,โคกขาม,เฉพาะ,
สมุทรสาคร,1,เมืองสมุทรสาคร,พันท้ายนรสิงห์,เฉพาะ,
สมุทรสาคร,1,เมืองสมุทรสาคร,คอกกระบือ,เฉพาะ,
สมุทรสาคร,1,เมืองสมุทรสาคร,บางน้ำจืด,เฉพาะ,
สมุทรสาคร,2,เมืองสมุทรสาคร,นาดี,เฉพาะ,
สมุทรสาคร,2,กระทุ่มแบน,อ้อมน้อย,เฉพาะ,
สมุทรสาคร,2,กระทุ่มแบน,สวนหลวง,เฉพาะ,
สมุทรสาคร,2,กระทุ่มแบน,ท่าไม้,เฉพาะ,
สมุทรสาคร,2,กระทุ่มแบน,ตลาดกระทุ่มแบน,เฉพาะ,
สมุทรสาคร,2,กระทุ่มแบน,แคราย,เฉพาะ,
สมุทรสาคร,2,กระทุ่มแบน,คลองมะเดื่อ,เฉพาะ,
สมุทรสาคร,2,กระทุ่มแบน,ดอนไก่ดี,เฉพาะ,
สมุทรสาคร,3,เมืองสมุทรสาคร,นาโคก,เฉพาะ,
สมุทรสาคร,3,เมืองสมุทรสาคร,กาหลง,เฉพาะ,
สมุทรสาคร,3,เมืองสมุทรสาคร,บางโทรัด,เฉพาะ,
สมุทรสาคร,3,เมืองสมุทรสาคร,ชัยมงคล,เฉพาะ,
สมุทรสาคร,3,เมืองสมุทรสาคร,บ้านบ่อ,เฉพาะ,
สมุทรสาคร,3,เมืองสมุทรสาคร,บางกระเจ้า,เฉพาะ,
สมุทรสาคร,3,เมืองสมุทรสาคร,บ้านเกาะ,เฉพาะ,
สมุทรสาคร,3,เมืองสมุทรสาคร,ท่าจีน,เฉพาะ,
สมุทรสาคร,3,กระทุ่มแบน,ท่าเสา,เฉพาะ,
สมุทรสาคร,3,กระทุ่มแบน,บางยาง,เฉพาะ,
สมุทรสาคร,3,กระทุ่มแบน,หนองนกไข่,เฉพาะ,
สมุทรสาคร,3,บ้านแพ้ว,,,
สระแก้ว,1,เมืองสระแก้ว,,,
สระแก้ว,1,เขาฉกรรจ์,,,
สระแก้ว,1,วังน้ำเย็น,ทุ่งมหาเจริญ,เฉพาะ,
สระแก้ว,2,วัฒนานคร,ช่องกุ่ม,ยกเว้น,
สระแก้ว,2,วัฒนานคร,แซร์ออ,ยกเว้น,
สระแก้ว,2,วังน้ำเย็น,ทุ่งมหาเจริญ,ยกเว้น,
สระแก้ว,2,คลองหาด,,,
สระแก้ว,2,วังสมบูรณ์,,,
สระแก้ว,3,อรัญประเทศ,,,
สระแก้ว,3,ตาพระยา,,,
สระแก้ว,3,โคกสูง,,,
สระแก้ว,3,วัฒนานคร,ช่องกุ่ม,เฉพาะ,
สระแก้ว,3,วัฒนานคร,แซร์ออ,เฉพาะ,
หนองคาย,1,เมืองหนองคาย,พระธาตุบังพวน,ยกเว้น,
หนองคาย,1,เมืองหนองคาย,เวียงคุก,ยกเว้น,
หนองคาย,1,สระใคร,,,
หนองคาย,1,โพนพิสัย,เหล่าต่างคำ,เฉพาะ,
หนองคาย,1,โพนพิสัย,ทุ่งหลวง,เฉพาะ,
หนองคาย,1,โพนพิสัย,สร้างนางขาว,เฉพาะ,
หนองคาย,2,โพนพิสัย,เหล่าต่างคำ,ยกเว้น,
หนองคาย,2,โพนพิสัย,ทุ่งหลวง,ยกเว้น,
หนองคาย,2,โพนพิสัย,สร้างนางขาว,ยกเว้น,
หนองคาย,2,รัตนวาปี,,,
หนองคาย,2,เฝ้าไร่,,,
หนองคาย,3,เมืองหนองคาย,พระธาตุบังพวน,เฉพาะ,
หนองคาย,3,เมืองหนองคาย,เวียงคุก,เฉพาะ,
หนองคาย,3,ท่าบ่อ,,,
หนองคาย,3,ศรีเชียงใหม่,,,
หนองคาย,3,โพธิ์ตาก,,,
หนองคาย,3,สังคม,,,
หนองบัวลำภู,1,เมืองหนองบัวลำภู,,,
หนองบัวลำภู,1,โนนสัง,กุดดู่,เฉพาะ,
หนองบัวลำภู,1,โนนสัง,โนนสัง,เฉพาะ,
หนองบัวลำภู,1,โนนสัง,บ้านค้อ,เฉพาะ,
หนองบัวลำภู,1,โนนสัง,บ้านถิ่น,เฉพาะ,
หนองบัวลำภู,1,โนนสัง,ปางกู่,เฉพาะ,
หนองบัวลำภู,2,ศรีบุญเรือง,,,
หนองบัวลำภู,2,นาวัง,วังปลาป้อม,ยกเว้น,
หนองบัวลำภู,2,โนนสัง,หนองเรือ,เฉพาะ,
หนองบัวลำภู,2,โนนสัง,โนนเมือง,เฉพาะ,
หนองบัวลำภู,2,โนนสัง,โคกใหญ่,เฉพาะ,
หนองบัวลำภู,2,โนนสัง,โคกม่วง,เฉพาะ,
หนองบัวลำภู,2,โนนสัง,นิคมพัฒนา,เฉพาะ,
หนองบัวลำภู,3,นากลาง,,,
หนองบัวลำภู,3,สุวรรณคูหา,,,
หนองบัวลำภู,3,นาวัง,วังปลาป้อม,เฉพาะ,
อุตรดิตถ์,1,เมืองอุตรดิตถ์,,,
อุตรดิตถ์,2,ท่าปลา,,,
อุตรดิตถ์,2,น้ำปาด,,,
อุตรดิตถ์,2,ฟากท่า,,,
อุตรดิตถ์,2,บ้านโคก,,,
อุตรดิตถ์,2,ทองแสนขัน,,,
อุตรดิตถ์,2,พิชัย,นาอิน,เฉพาะ,
อุตรดิตถ์,2,พิชัย,นายาง,เฉพาะ,
อุตรดิตถ์,3,ลับแล,,,
อุตรดิตถ์,3,ตรอน,,,
อุตรดิตถ์,3,พิชัย,นาอิน,ยกเว้น,
อุตรดิตถ์,3,พิชัย,นายาง,ยกเว้น,
กำแพงเพชร,1,เมืองกำแพงเพชร,ในเมือง,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,หนองปลิง,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,เทพนคร,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,อ่างทอง,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,คลองแม่ลาย,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,นครชุม,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเ,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,วังทอง,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,ลานดอกไม้,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,ท่าขุนราม,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,ทรงธรรม,เฉพาะ,
กำแพงเพชร,1,เมืองกำแพงเพชร,ธำมรงค์,เฉพาะ,
กำแพงเพชร,2,พรานกระต่าย,,,
กำแพงเพชร,2,ลานกระบือ,,,
กำแพงเพชร,2,โกสัมพีนคร,,,
กำแพงเพชร,2,ไทรงาม,มหาชัย,เฉพาะ,
กำแพงเพชร,2,ไทรงาม,พานทอง,เฉพาะ,
กำแพงเพชร,2,ไทรงาม,หนองคล้า,เฉพาะ,
กำแพงเพชร,2,ไทรงาม,หนองทอง,เฉพาะ,
กำแพงเพชร,2,เมืองกำแพงเพชร,สระแก้ว,เฉพาะ,
กำแพงเพชร,3,คลองขลุง,,,
กำแพงเพชร,3,คลองลาน,,,
กำแพงเพชร,3,ปางศิลาทอง,,,
กำแพงเพชร,3,เมืองกำแพงเพชร,ไตรตรึงษ์,เฉพาะ,
กำแพงเพชร,4,ขาณุวรลักษบุรี,,,
กำแพงเพชร,4,บึงสามัคคี,,,
กำแพงเพชร,4,ทรายทองวัฒนา,,,
กำแพงเพชร,4,ไทรงาม,หนองแม่แตง,เฉพาะ,
กำแพงเพชร,4,ไทรงาม,ไทรงาม,เฉพาะ,
กำแพงเพชร,4,ไทรงาม,หนองไม้กอง,เฉพาะ,
ฉะเชิงเทรา,1,เมืองฉะเชิงเทรา,,,
ฉะเชิงเทรา,1,บ้านโพธิ์,เกาะไร่,เฉพาะ,
ฉะเชิงเทรา,1,บ้านโพธิ์,เทพราช,เฉพาะ,
ฉะเชิงเทรา,1,บ้านโพธิ์,คลองประเวศ,เฉพาะ,
